A1, A4, A5, A6, A7, A9, A10, A12, A13, Class
b,u,g,w,v,t,t,f,g,POS
a,u,g,q,h,t,t,f,g,POS
a,u,g,q,h,t,f,f,g,POS
b,u,g,w,v,t,t,t,g,POS
b,u,g,w,v,t,f,f,s,POS
b,u,g,m,v,t,f,t,g,POS
b,u,g,r,h,t,f,t,g,POS
a,u,g,cc,v,t,f,f,g,POS
b,y,p,k,h,t,f,f,g,POS
b,y,p,w,v,t,f,t,g,POS
b,u,g,c,h,f,f,t,g,POS
b,u,g,c,h,t,f,f,g,POS
a,u,g,k,v,t,f,t,g,POS
b,u,g,k,v,f,f,f,g,POS
a,u,g,q,v,t,t,t,g,POS
b,y,p,k,v,t,t,t,g,POS
b,u,g,m,v,t,t,t,g,POS
a,u,g,q,v,t,t,f,g,POS
b,u,g,d,h,t,f,t,g,POS
a,u,g,cc,h,t,t,f,g,POS
b,u,g,c,v,t,t,f,g,POS
b,u,g,c,v,t,f,f,s,POS
a,u,g,c,v,t,t,t,g,POS
a,u,g,x,h,t,t,f,g,POS
a,u,g,q,v,t,t,t,g,POS
a,u,g,c,h,t,t,f,g,POS
a,u,g,i,bb,t,t,t,g,POS
b,u,g,d,bb,t,t,t,g,POS
b,u,g,e,h,t,t,f,g,POS
b,u,g,w,v,t,t,t,g,POS
b,u,g,aa,v,t,t,t,g,POS
b,u,g,x,h,t,t,f,g,POS
b,u,g,i,bb,t,t,t,g,POS
a,u,g,e,v,t,f,t,g,POS
a,u,g,q,v,t,t,t,g,POS
b,u,g,w,v,t,t,t,g,POS
b,u,g,cc,h,t,t,t,g,POS
a,u,g,x,h,t,t,t,g,POS
b,y,p,cc,v,t,t,f,g,POS
b,u,g,ff,ff,t,t,t,g,POS
b,u,g,c,v,t,t,t,g,POS
b,u,g,c,h,t,t,f,g,POS
b,u,g,w,h,t,t,f,g,POS
b,u,g,w,v,t,t,t,g,POS
b,y,p,c,v,t,t,f,g,POS
b,u,g,c,h,t,t,t,g,POS
a,y,p,q,h,t,t,t,g,POS
b,u,g,cc,h,t,t,f,g,POS
b,u,g,i,bb,f,f,f,g,POS
b,u,g,c,v,f,f,f,g,POS
a,u,g,c,h,t,f,t,g,POS
b,u,g,q,v,t,f,t,g,POS
b,u,g,w,v,t,f,t,g,POS
b,u,g,w,v,t,f,t,g,POS
b,u,g,cc,h,t,f,t,g,POS
b,y,p,w,v,t,f,t,g,POS
b,u,g,cc,v,t,f,f,g,POS
b,u,g,i,h,t,f,t,g,POS
b,u,g,x,h,f,f,t,s,POS
b,u,g,q,h,t,t,f,g,POS
b,u,g,m,v,t,t,t,g,POS
b,u,g,d,v,t,t,f,g,POS
a,y,p,q,v,t,t,t,g,POS
a,u,g,q,v,t,t,f,g,POS
b,u,g,cc,v,t,t,t,g,POS
b,u,g,cc,v,t,t,t,g,POS
a,u,g,c,v,t,t,f,g,POS
b,u,g,m,v,t,t,f,g,POS
b,u,g,w,h,t,t,f,g,POS
b,u,g,x,h,t,t,t,g,POS
b,u,g,e,bb,t,f,t,s,NEG
b,u,g,d,bb,t,f,t,g,NEG
a,u,g,cc,v,t,f,t,g,NEG
b,u,g,m,v,t,f,f,s,NEG
b,y,p,c,v,f,f,f,g,NEG
b,u,g,q,v,t,t,f,g,NEG
b,u,g,aa,v,t,f,t,g,NEG
a,y,p,aa,v,t,f,t,g,NEG
b,y,p,k,v,t,t,f,g,NEG
b,u,g,c,v,t,f,f,g,NEG
b,u,g,ff,ff,t,t,f,g,NEG
a,u,g,m,v,t,f,f,s,NEG
b,u,g,m,v,t,f,f,s,NEG
a,u,g,d,v,t,f,t,g,NEG
b,u,g,aa,v,t,f,t,g,NEG
b,u,g,c,bb,t,f,t,s,NEG
b,u,g,d,v,t,f,t,s,NEG
b,y,p,aa,v,t,f,f,g,NEG
b,u,g,aa,v,t,f,t,g,NEG
a,u,g,j,j,t,f,t,g,NEG
b,y,p,c,h,t,f,f,g,NEG
b,u,g,c,v,t,f,f,g,NEG
b,y,p,aa,v,t,f,f,g,NEG
b,y,p,c,h,t,f,t,g,NEG
b,y,p,c,v,t,f,t,g,NEG
a,u,g,i,bb,t,f,t,g,NEG
b,y,p,aa,v,t,f,f,g,NEG
b,u,g,c,bb,t,f,t,s,NEG
a,y,p,q,v,t,f,t,g,NEG
a,u,g,q,v,t,t,t,g,NEG
b,y,p,c,bb,t,f,t,g,NEG
b,y,p,c,v,t,f,f,g,NEG
b,u,g,q,v,t,t,f,g,NEG
b,u,g,k,v,t,t,t,g,NEG
b,y,p,i,h,t,t,t,g,NEG
b,u,g,e,z,t,t,f,g,NEG
b,u,g,k,v,t,f,f,s,NEG
a,y,p,aa,v,t,f,f,g,NEG
b,y,p,x,h,t,f,t,g,NEG
a,u,g,c,v,t,t,t,g,NEG
b,u,g,w,v,t,t,t,g,NEG
a,y,p,ff,ff,t,t,f,g,NEG
b,u,g,w,v,t,f,t,g,NEG
a,u,g,k,bb,t,t,t,g,NEG
b,y,p,c,h,t,t,t,g,NEG
a,u,g,q,v,t,t,f,g,NEG
b,u,g,q,h,t,t,t,g,NEG
b,u,g,k,v,t,t,f,g,POS
b,u,g,m,v,t,t,t,g,POS
a,u,g,cc,h,t,t,t,g,POS
b,u,g,q,v,t,t,f,g,POS
b,u,g,cc,v,t,t,t,g,POS
a,u,g,aa,v,t,t,t,g,POS
a,u,g,q,v,t,t,t,g,POS
a,u,g,q,v,t,t,t,g,POS
b,u,g,x,h,t,t,t,g,POS
b,u,g,m,bb,t,t,t,g,POS
b,u,g,q,v,t,t,t,g,POS
b,u,g,i,bb,t,t,f,g,POS
a,u,g,w,v,t,f,f,s,POS
b,u,g,e,z,t,t,t,g,POS
b,u,g,c,v,t,t,f,g,POS
a,u,g,e,bb,t,t,f,g,POS
b,u,g,c,bb,t,t,f,g,POS
b,u,g,q,h,t,t,t,g,POS
b,u,g,q,h,t,f,t,g,POS
b,y,p,aa,v,t,t,f,g,POS
b,u,g,m,v,t,t,f,g,POS
a,u,g,w,v,t,t,t,g,POS
a,u,g,q,h,t,t,f,g,POS
a,u,g,cc,h,t,t,t,g,POS
a,u,g,j,ff,t,t,f,g,POS
b,y,p,cc,h,t,t,f,g,POS
b,u,g,w,v,t,t,f,g,POS
b,u,g,cc,h,t,t,f,g,POS
b,u,g,cc,h,t,t,f,g,POS
b,u,g,q,v,t,t,t,g,POS
a,y,p,q,h,t,t,f,g,POS
a,u,g,c,bb,t,t,t,g,POS
a,u,g,c,v,t,t,f,g,POS
a,u,g,cc,h,t,t,t,g,POS
a,u,g,q,v,t,t,f,g,POS
b,u,g,m,h,t,t,t,g,POS
b,u,g,c,v,t,t,t,g,POS
b,u,g,cc,h,t,t,t,g,POS
a,y,p,j,j,t,t,t,g,POS
a,y,p,x,h,t,t,f,g,POS
a,u,g,e,z,t,t,f,g,POS
b,u,g,k,h,t,t,t,g,POS
b,y,p,m,bb,t,t,t,g,POS
b,u,g,x,h,t,t,f,g,POS
b,u,g,m,v,t,t,t,g,POS
b,u,g,x,v,t,t,t,g,POS
b,y,p,e,h,t,f,t,g,POS
a,u,g,q,v,t,f,t,g,POS
a,u,g,q,h,t,f,f,g,POS
b,u,g,q,v,t,f,t,g,POS
a,u,g,cc,v,t,f,f,g,POS
b,u,g,q,h,t,f,t,g,POS
b,y,p,d,v,f,f,t,g,POS
a,y,p,aa,v,t,f,t,g,POS
b,u,g,c,bb,t,f,f,g,POS
b,u,g,k,h,t,f,t,g,POS
a,u,g,k,h,t,f,t,g,POS
b,u,g,q,h,t,f,f,g,POS
b,y,p,w,v,t,f,t,g,POS
b,u,g,aa,v,t,f,t,s,POS
a,u,g,aa,v,t,f,f,g,POS
a,u,g,q,v,t,t,f,g,POS
b,u,g,aa,v,t,t,f,g,POS
b,u,g,c,bb,t,t,f,g,POS
a,u,g,i,bb,t,t,f,s,POS
a,u,g,q,v,t,t,f,g,POS
a,u,g,c,v,t,t,f,g,POS
a,u,g,q,v,t,t,f,g,POS
b,u,g,c,h,t,t,f,g,POS
b,u,g,aa,bb,t,t,f,g,POS
b,u,g,c,v,t,t,f,g,POS
a,u,g,c,v,t,t,t,g,POS
a,u,g,q,h,t,t,f,g,POS
b,u,g,c,v,t,f,t,g,POS
b,u,g,i,h,t,f,f,g,POS
b,u,g,x,v,t,f,f,g,POS
b,y,p,w,v,t,t,f,g,POS
b,y,p,i,bb,t,t,t,g,POS
b,y,p,c,bb,t,t,t,g,POS
b,y,p,x,v,t,t,t,g,POS
b,u,g,w,h,t,t,f,g,POS
b,y,p,aa,v,t,t,t,g,POS
b,u,g,x,v,t,t,f,g,POS
a,u,g,q,h,t,t,f,g,POS
a,u,g,i,bb,t,f,t,g,POS
b,u,g,c,v,t,t,f,g,POS
a,u,g,q,v,t,t,t,g,POS
b,y,p,w,v,t,t,f,g,POS
a,u,g,q,h,t,t,f,g,POS
a,?,?,?,?,f,f,f,p,POS
b,u,g,q,h,t,t,f,g,POS
b,u,g,k,v,t,t,f,g,POS
b,u,g,c,bb,t,t,f,g,POS
b,u,g,cc,h,t,t,t,g,POS
b,y,p,d,v,t,f,t,s,POS
b,u,g,ff,ff,t,t,t,g,POS
b,u,g,i,v,t,t,f,g,POS
b,y,p,cc,v,t,t,f,g,POS
b,u,g,aa,v,t,f,f,s,POS
b,u,g,cc,h,t,t,f,g,POS
b,u,g,ff,ff,t,t,f,g,POS
b,u,g,e,v,t,t,f,g,POS
a,y,p,c,v,t,t,t,g,POS
a,u,g,aa,v,t,t,t,g,POS
b,u,g,e,z,t,t,t,g,POS
a,u,g,aa,v,t,f,t,g,POS
a,u,g,aa,v,t,f,f,g,POS
a,u,g,q,v,t,f,t,g,POS
b,u,g,c,bb,t,f,t,g,POS
b,u,g,k,v,t,f,f,g,POS
a,y,p,x,v,f,f,f,g,POS
b,u,g,q,v,t,t,t,g,POS
b,u,g,cc,v,t,f,f,g,POS
b,u,g,cc,v,t,t,f,g,POS
a,u,g,x,v,t,t,t,g,POS
b,u,g,x,h,t,t,t,g,POS
b,u,g,w,v,t,f,t,g,POS
a,u,g,i,bb,t,t,f,g,POS
a,u,g,q,v,t,t,f,g,POS
b,u,g,i,bb,t,f,t,g,POS
b,u,g,aa,v,t,t,f,g,POS
b,u,g,q,v,t,f,f,s,POS
b,u,g,x,v,t,t,f,g,POS
b,y,p,c,v,t,f,f,s,POS
b,u,g,w,v,t,t,f,g,POS
b,u,g,w,v,t,f,t,g,POS
a,u,g,q,v,t,t,f,g,POS
b,u,g,i,v,t,t,f,g,POS
b,y,p,c,h,t,t,t,g,POS
b,u,g,cc,h,t,t,t,g,POS
a,u,g,q,h,t,t,f,g,POS
?,u,g,c,bb,t,t,f,g,POS
b,u,g,x,v,t,t,f,g,POS
b,u,g,e,z,t,t,f,g,POS
b,u,g,q,h,t,t,t,g,POS
a,u,g,x,h,t,t,f,g,POS
b,u,g,x,h,t,t,f,g,POS
b,u,g,k,v,f,f,f,g,NEG
b,u,g,c,h,f,f,f,g,NEG
b,u,g,c,v,f,f,t,g,NEG
b,u,g,d,v,f,f,f,g,NEG
a,u,g,i,v,f,f,f,g,NEG
a,y,p,c,v,f,f,f,g,NEG
b,u,g,d,h,f,f,t,g,NEG
a,y,p,ff,ff,f,f,f,g,NEG
a,u,g,i,o,f,f,f,g,NEG
a,y,p,x,h,f,f,t,g,NEG
b,u,g,ff,ff,f,f,f,g,NEG
b,y,p,c,v,f,f,f,g,NEG
b,y,p,e,dd,f,f,f,g,NEG
a,u,g,d,v,f,f,f,g,NEG
b,u,g,q,v,t,f,t,g,POS
b,u,g,q,n,f,f,f,g,POS
b,?,?,?,?,f,f,f,p,POS
b,u,g,c,v,f,f,t,g,NEG
b,y,p,m,v,f,f,f,g,NEG
b,y,p,k,v,f,f,f,g,NEG
b,u,g,cc,h,f,f,t,s,NEG
b,u,g,d,v,f,f,f,g,NEG
a,u,g,i,h,f,f,f,g,NEG
a,y,p,q,h,f,f,f,g,NEG
b,y,p,ff,ff,f,f,f,g,NEG
b,u,g,m,v,t,f,f,s,NEG
b,y,p,c,h,f,f,f,g,NEG
b,y,p,cc,h,f,f,f,g,NEG
b,u,g,c,v,f,f,f,s,NEG
a,u,g,q,v,f,t,f,g,NEG
b,u,g,c,v,f,t,f,g,NEG
b,u,g,w,h,f,t,f,g,NEG
a,u,g,ff,ff,f,t,t,g,NEG
b,u,g,w,v,f,t,f,g,NEG
b,y,p,c,v,f,t,f,g,NEG
a,y,p,j,j,f,f,f,g,NEG
b,u,g,m,v,f,f,t,s,NEG
a,u,g,w,v,f,t,f,g,NEG
b,u,g,w,v,f,t,f,g,NEG
b,u,g,w,v,f,t,f,g,NEG
a,u,g,ff,ff,f,t,f,g,NEG
a,u,g,ff,ff,f,t,t,g,NEG
b,u,g,ff,ff,f,t,f,g,NEG
b,u,g,aa,v,f,t,t,g,NEG
b,u,g,aa,v,f,t,f,g,NEG
b,u,g,c,v,f,t,t,g,NEG
a,u,g,ff,ff,f,t,f,g,NEG
b,u,g,d,v,f,f,t,s,NEG
b,u,g,c,v,f,f,t,s,NEG
a,u,g,q,v,f,f,f,g,NEG
a,u,g,q,h,f,f,f,g,NEG
b,y,p,ff,ff,t,f,t,g,NEG
b,u,g,ff,ff,f,f,f,g,NEG
b,u,g,ff,ff,f,f,f,g,NEG
b,u,g,k,h,f,f,t,s,NEG
a,y,p,j,j,f,f,f,g,NEG
a,u,g,w,v,f,f,t,g,NEG
b,y,p,c,v,f,f,t,g,NEG
a,u,g,aa,v,f,f,f,g,NEG
a,u,g,d,v,f,f,f,g,NEG
b,y,p,aa,v,f,f,f,g,NEG
b,u,g,m,v,t,f,t,s,NEG
b,y,p,c,h,f,f,f,g,NEG
b,l,gg,ff,o,f,f,t,p,POS
b,y,p,m,bb,f,f,t,s,POS
b,y,p,c,v,f,f,t,g,POS
b,u,g,w,v,f,f,f,g,POS
a,l,gg,cc,ff,f,f,t,s,POS
a,u,g,cc,v,f,f,f,g,POS
b,y,p,k,v,t,t,f,g,POS
b,u,g,w,v,f,f,f,g,NEG
a,y,p,x,v,f,f,f,g,NEG
b,y,p,c,v,f,f,f,g,NEG
?,u,g,i,bb,f,f,f,s,NEG
b,y,p,w,v,f,f,f,s,NEG
b,y,p,i,v,f,f,t,g,NEG
b,?,?,?,?,f,f,f,p,NEG
a,y,p,c,v,f,f,t,g,NEG
b,u,g,c,v,f,f,f,g,NEG
a,u,g,d,v,f,f,t,g,NEG
b,u,g,cc,bb,f,f,f,g,NEG
b,u,g,q,h,f,f,t,g,NEG
b,u,g,c,v,f,f,t,g,NEG
a,y,p,i,h,f,f,t,g,NEG
a,y,p,aa,v,f,f,f,g,NEG
b,u,g,w,v,f,f,t,g,NEG
a,u,g,c,v,f,f,f,g,NEG
b,u,g,aa,v,f,f,f,g,NEG
b,u,g,i,bb,f,f,t,g,NEG
b,u,g,i,bb,f,f,f,g,NEG
